card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fight_date,fights_location,round_format,round_fought,weight_class,winner,winning_method
UFC 155: Dos Santos vs Velasquez II,Yushin Okami,45%,44,5,1,Alan Belcher,21%,28,0,0,December 29 2012,"Las Vegas, Nevada, USA",3,3,Middleweight,Yushin Okami,U-DEC
UFC 156: Aldo vs Edgar,Francisco Rivera,24%,97,1,1,Edwin Figueroa,40%,127,2,2,February 02 2013,"Las Vegas, Nevada, USA",3,2,Bantamweight,Francisco Rivera,KO/TKO
UFC 155: Dos Santos vs Velasquez II,Constantinos Philippou,47%,53,8,2,Tim Boetsch,37%,74,0,0,December 29 2012,"Las Vegas, Nevada, USA",3,3,Middleweight,Constantinos Philippou,KO/TKO
UFC 155: Dos Santos vs Velasquez II,Jim Miller,44%,204,1,1,Joe Lauzon,28%,123,1,0,December 29 2012,"Las Vegas, Nevada, USA",3,3,Lightweight,Jim Miller,U-DEC
UFC 155: Dos Santos vs Velasquez II,Derek Brunson,42%,94,0,0,Chris Leben,31%,130,13,4,December 29 2012,"Las Vegas, Nevada, USA",3,3,Middleweight,Derek Brunson,U-DEC
UFC 156: Aldo vs Edgar,Evan Dunham,21%,169,9,2,Gleison Tibau,38%,237,9,0,February 02 2013,"Las Vegas, Nevada, USA",3,3,Lightweight,Evan Dunham,S-DEC
UFC 155: Dos Santos vs Velasquez II,Cain Velasquez,41%,137,1,0,Junior Dos Santos,49%,224,33,11,December 29 2012,"Las Vegas, Nevada, USA",5,5,Heavyweight,Cain Velasquez,U-DEC
UFC 156: Aldo vs Edgar,Isaac Vallie-Flagg,50%,115,3,1,Yves Edwards,34%,222,0,0,February 02 2013,"Las Vegas, Nevada, USA",3,3,Lightweight,Isaac Vallie-Flagg,S-DEC
UFC 156: Aldo vs Edgar,Demian Maia,37%,16,0,0,Jon Fitch,70%,17,17,7,February 02 2013,"Las Vegas, Nevada, USA",3,3,Welterweight,Demian Maia,U-DEC
UFC 156: Aldo vs Edgar,Antonio Silva,71%,71,1,1,Alistair Overeem,43%,48,1,0,February 02 2013,"Las Vegas, Nevada, USA",3,3,Heavyweight,Antonio Silva,KO/TKO
UFC 156: Aldo vs Edgar,Joseph Benavidez,30%,184,1,0,Ian McCall,35%,113,4,1,February 02 2013,"Las Vegas, Nevada, USA",3,3,Flyweight,Joseph Benavidez,U-DEC
UFC 156: Aldo vs Edgar,Tyron Woodley,68%,22,0,0,Jay Hieron,0%,2,0,0,February 02 2013,"Las Vegas, Nevada, USA",3,1,Welterweight,Tyron Woodley,KO/TKO
UFC 156: Aldo vs Edgar,Bobby Green,11%,51,12,4,Jacob Volkmann,60%,90,1,1,February 02 2013,"Las Vegas, Nevada, USA",3,3,Lightweight,Bobby Green,SUB
UFC 156: Aldo vs Edgar,Dustin Kimura,56%,41,3,1,Chico Camus,28%,56,0,0,February 02 2013,"Las Vegas, Nevada, USA",3,3,Bantamweight,Dustin Kimura,SUB
UFC 156: Aldo vs Edgar,Jose Aldo,30%,253,0,0,Frankie Edgar,22%,272,11,2,February 02 2013,"Las Vegas, Nevada, USA",5,5,Featherweight,Jose Aldo,U-DEC
UFC 156: Aldo vs Edgar,Rogerio Nogueira,27%,81,5,1,Rashad Evans,26%,152,0,0,February 02 2013,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Rogerio Nogueira,U-DEC
UFC on FX: Belfort vs Bisping,Francisco Trinaldo,63%,19,5,2,CJ Keith,33%,9,1,0,January 19 2013,"Sao Paulo, Brazil",3,2,Lightweight,Francisco Trinaldo,SUB
UFC on FX: Belfort vs Bisping,Edson Barboza,57%,45,0,0,Lucas Martins,38%,31,0,0,January 19 2013,"Sao Paulo, Brazil",3,1,Lightweight,Edson Barboza,KO/TKO
UFC on FX: Belfort vs Bisping,Nik Lentz,56%,32,0,0,Diego Nunes,75%,74,21,10,January 19 2013,"Sao Paulo, Brazil",3,3,Featherweight,Nik Lentz,U-DEC
UFC on FX: Belfort vs Bisping,Khabib Nurmagomedov,20%,10,0,0,Thiago Tavares,70%,31,0,0,January 19 2013,"Sao Paulo, Brazil",3,1,Lightweight,Khabib Nurmagomedov,KO/TKO
UFC on FX: Belfort vs Bisping,Iuri Alcantara,64%,31,1,1,Pedro Nobre,30%,10,1,0,January 19 2013,"Sao Paulo, Brazil",3,1,Bantamweight,Iuri Alcantara,CNC
UFC on FX: Belfort vs Bisping,Ildemar Alcantara,52%,53,1,0,Wagner Prado,43%,55,3,2,January 19 2013,"Sao Paulo, Brazil",3,2,Light Heavyweight,Ildemar Alcantara,SUB
UFC on FX: Belfort vs Bisping,Ronny Markes,55%,9,12,2,Andrew Craig,68%,29,1,0,January 19 2013,"Sao Paulo, Brazil",3,3,Middleweight,Ronny Markes,U-DEC
UFC on FX: Belfort vs Bisping,Godofredo Pepey,47%,76,1,0,Milton Vieira,50%,34,6,5,January 19 2013,"Sao Paulo, Brazil",3,3,Featherweight,Godofredo Pepey,S-DEC
UFC on FOX: Johnson vs Dodson,David Mitchell,42%,115,1,1,Simeon Thoresen,37%,159,2,1,January 26 2013,"Chicago, Illinois, USA",3,3,Welterweight,David Mitchell,U-DEC
UFC on FX: Belfort vs Bisping,Gabriel Gonzaga,60%,28,8,3,Ben Rothwell,44%,27,0,0,January 19 2013,"Sao Paulo, Brazil",3,2,Heavyweight,Gabriel Gonzaga,SUB
UFC on FX: Belfort vs Bisping,CB Dollaway,38%,98,6,0,Daniel Sarafian,40%,152,6,2,January 19 2013,"Sao Paulo, Brazil",3,3,Middleweight,CB Dollaway,S-DEC
UFC on FOX: Johnson vs Dodson,Shawn Jordan,55%,45,6,1,Mike Russow,58%,72,2,2,January 26 2013,"Chicago, Illinois, USA",3,2,Heavyweight,Shawn Jordan,KO/TKO
UFC on FOX: Johnson vs Dodson,Pascal Krauss,44%,142,8,2,Mike Stumpf,52%,309,2,1,January 26 2013,"Chicago, Illinois, USA",3,3,Welterweight,Pascal Krauss,U-DEC
UFC on FOX: Johnson vs Dodson,Ryan Bader,50%,6,0,0,Vladimir Matyushenko,0%,4,0,0,January 26 2013,"Chicago, Illinois, USA",3,1,Light Heavyweight,Ryan Bader,SUB
UFC on FX: Belfort vs Bisping,Vitor Belfort,33%,53,0,0,Michael Bisping,21%,66,1,0,January 19 2013,"Sao Paulo, Brazil",5,2,Middleweight,Vitor Belfort,KO/TKO
UFC on FOX: Johnson vs Dodson,Clay Guida,23%,112,6,3,Hatsu Hioki,41%,99,0,0,January 26 2013,"Chicago, Illinois, USA",3,3,Featherweight,Clay Guida,S-DEC
UFC on FOX: Johnson vs Dodson,Anthony Pettis,64%,28,0,0,Donald Cerrone,33%,12,0,0,January 26 2013,"Chicago, Illinois, USA",3,1,Lightweight,Anthony Pettis,KO/TKO
UFC on FOX: Johnson vs Dodson,Ricardo Lamas,31%,44,0,0,Erik Koch,57%,56,8,2,January 26 2013,"Chicago, Illinois, USA",3,2,Featherweight,Ricardo Lamas,KO/TKO
UFC on FOX: Johnson vs Dodson,Rafael Natal,57%,111,6,4,Sean Spencer,14%,84,0,0,January 26 2013,"Chicago, Illinois, USA",3,3,Middleweight,Rafael Natal,SUB
UFC on FOX: Johnson vs Dodson,Glover Teixeira,31%,169,4,0,Quinton Jackson,44%,179,5,5,January 26 2013,"Chicago, Illinois, USA",3,3,Light Heavyweight,Glover Teixeira,U-DEC
UFC on FOX: Johnson vs Dodson,TJ Grant,58%,93,0,0,Matt Wiman,31%,57,1,0,January 26 2013,"Chicago, Illinois, USA",3,1,Lightweight,TJ Grant,KO/TKO
UFC on FOX: Henderson vs Diaz,Dennis Siver,46%,273,4,2,Nam Phan,20%,120,0,0,December 08 2012,"Seattle, Washington, USA",3,3,Featherweight,Dennis Siver,U-DEC
UFC on FOX: Johnson vs Dodson,Demetrious Johnson,51%,247,15,5,John Dodson,36%,156,4,1,January 26 2013,"Chicago, Illinois, USA",5,5,Flyweight,Demetrious Johnson,U-DEC
UFC on FOX: Henderson vs Diaz,Daron Cruickshank,57%,91,0,0,Henry Martinez,20%,102,2,0,December 08 2012,"Seattle, Washington, USA",3,2,Lightweight,Daron Cruickshank,KO/TKO
UFC on FOX: Henderson vs Diaz,Ramsey Nijem,41%,117,10,5,Joe Proctor,30%,68,0,0,December 08 2012,"Seattle, Washington, USA",3,3,Lightweight,Ramsey Nijem,U-DEC
UFC on FOX: Henderson vs Diaz,Raphael Assuncao,36%,156,6,0,Mike Easton,19%,155,3,0,December 08 2012,"Seattle, Washington, USA",3,3,Bantamweight,Raphael Assuncao,U-DEC
UFC on FOX: Henderson vs Diaz,Yves Edwards,38%,21,1,0,Jeremy Stephens,23%,21,1,0,December 08 2012,"Seattle, Washington, USA",3,1,Lightweight,Yves Edwards,KO/TKO
UFC on FOX: Henderson vs Diaz,Matt Brown,31%,29,2,0,Mike Swick,64%,39,1,1,December 08 2012,"Seattle, Washington, USA",3,2,Welterweight,Matt Brown,KO/TKO
UFC on FOX: Henderson vs Diaz,Abel Trujillo,56%,16,10,2,Marcus LeVesseur,76%,75,1,1,December 08 2012,"Seattle, Washington, USA",3,2,Lightweight,Abel Trujillo,KO/TKO
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Johnny Bedford,56%,60,1,1,Marcos Vinicius,26%,15,0,0,December 15 2012,"Las Vegas, Nevada, USA",3,2,Bantamweight,Johnny Bedford,KO/TKO
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Dustin Poirier,47%,73,2,0,Jonathan Brookins,48%,54,2,0,December 15 2012,"Las Vegas, Nevada, USA",3,1,Featherweight,Dustin Poirier,SUB
UFC on FOX: Henderson vs Diaz,Rory MacDonald,26%,89,2,0,BJ Penn,57%,203,3,1,December 08 2012,"Seattle, Washington, USA",3,3,Welterweight,Rory MacDonald,U-DEC
UFC on FOX: Henderson vs Diaz,Alexander Gustafsson,43%,95,3,1,Mauricio Rua,46%,156,12,6,December 08 2012,"Seattle, Washington, USA",3,3,Light Heavyweight,Alexander Gustafsson,U-DEC
UFC on FOX: Henderson vs Diaz,Benson Henderson,62%,198,12,8,Nate Diaz,36%,83,6,0,December 08 2012,"Seattle, Washington, USA",5,5,Lightweight,Benson Henderson,U-DEC
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Pat Barry,73%,15,0,0,Shane del Rosario,56%,25,4,1,December 15 2012,"Las Vegas, Nevada, USA",3,2,Heavyweight,Pat Barry,KO/TKO
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Mike Pyle,52%,17,0,0,James Head,52%,25,0,0,December 15 2012,"Las Vegas, Nevada, USA",3,1,Welterweight,Mike Pyle,KO/TKO
UFC on FX: Sotiropoulos vs Pearson,Cody Donovan,38%,18,0,0,Nick Penner,70%,27,1,1,December 14 2012,"Gold Coast, Queensland, Australia",3,1,Light Heavyweight,Cody Donovan,KO/TKO
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Roy Nelson,43%,53,1,0,Matt Mitrione,46%,28,0,0,December 15 2012,"Las Vegas, Nevada, USA",5,1,Heavyweight,Roy Nelson,KO/TKO
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Colton Smith,83%,18,16,7,Mike Ricci,60%,15,0,0,December 15 2012,"Las Vegas, Nevada, USA",3,3,Welterweight,Colton Smith,U-DEC
